category,comments,answer,question
THE SOLAR SYSTEM,,Only 1 of 9 planets not named for a Greek or Roman mythological figure,the Earth
THE SUPREME COURT,,"He successfully argued Brown vs. Board of Education before Supreme Court, then became its 1st black justice",Thurgood Marshall
NUTRITION,,Also known as ascorbic acid,vitamin C
THE BIG TOP,,Barnum's famous pachyderm he said died on railroad tracks to save a friend,Jumbo
FOLK MUSIC,,What the farmer's wife did to 3 unlucky mice,cut off their tails with a carving knife
STREISAND FILMS,,"This film's ""Evergreen"" earned Barbra a composing Oscar",A Star Is Born
THE THEATER,,"The musical ""Hello Dolly!"" was based on this Thornton Wilder play",The Matchmaker
MARTYRS,,"Executed by English for sorcery, later declared innocent and, in 1920, made a saint",Joan of Arc
TENNESSEE WILLIAMS,,"Season he paired with ""smoke"" & ""suddenly\""",summer
THE MOVIES,,"The movie studio that released the landmark film ""The Jazz Singer"" in 1927",Warner Bros.
THE CABINET,,"In '61, President Kennedy began the custom of having this diplomatic ofcr. take part in Cabinet meetings",U.N. Ambassador
20th CENTURY,,"In 1927, he was named ""Time"" magazine's first ""Man of the Year\""",(Charles) Lindbergh
"\""STARTS\""",,Indy cars & track stars all begin here,start(ing) line
SON OF WOOD,"(Alex: And those of you with good memories will recall that some time ago we had a category called WOOD. We're bringing back, by popular demand, [*]. By the way, the popular demand came from the researcher who prepared the answers in this category. We'll find out soon enough how well it works.)",Jed Clampett whiled away the hours with this hobby on his front porch,whittling
PUBLIC HEALTH,,"Since vaccinations are not yet available, it's most widespread of communicable childhood diseases",chicken pox
PARKS,,Frederick Law Olmsted was 1st to call himself a landscape architect when he designed this NYC park,Central Park
ARMED FORCES,,What NCO stands for,non-commissioned officer
IT'S A CRIME,,Stealing a Tom Petty album would be this kind of misdemeanor theft,petty theft (petty larceny)
WWI FILMS,,"Word which completes the titles ""What Price..."" & ""Paths of...\""",Glory
SOAP OPERAS,,CBS soap opera which is the only soap left on the air which began on radio,The Guiding Light
THE AUTOMOBILE,,"In 1972, it surpassed the Model T to become largest single car model ever sold",Volkswagen Beetle
KINGDOMS,,Possessing the northernmost island in the world makes this kingdom the world's northernmost,Denmark
SAINTS,,He holds the keys to the gates of the kingdom of heaven,St. Peter
NAMES IN THE NEWS,,"This U.S. President made the cover of ""TIME"" Magazine 64 times, almost twice as much as anyone else",Richard Nixon
CONTESTS,,"The 2 things you have to know to win on ""Dialing for Dollars\""",the count and the amount
TOYS AND GAMES,,"Of the six different chess pieces, the only two which can make the opening move",pawn & knight
THE LIBRARY,,"The word ""library"" comes from the Latin ""liber"", which means this",book
BRITISH MONARCHS,,"In 1553, she became 1st woman to be crowned Queen of England",Mary (Bloody Mary/Mary Tudor)
FAMOUS NAMES,,"In 1974, this baseball figure set record for most letters received in the mail in a year, some 900,000",Hank Aaron
