category,count
$ IN THE NEWS,3
10-LETTER WORDS,5
11-LETTER WORDS,5
12-LETTER WORDS,15
13-LETTER WORDS,5
14-LETTER WORDS,5
1492,4
15-LETTER WORDS,3
1789,8
1885,2
1890S,5
1933,5
1940,3
1945,10
1953,9
1955,5
1956,5
1959,5
1960,9
1961,5
1963,5
1964,5
1965,3
1967,5
1968,5
1972,5
1983,9
1984,10
19TH CENTURY AMERICA,3
2-LETTER WORDS,5
20TH CENTURY,5
20th CENTURY,1
3-LETTER WORDS,17
4-LETTER WORDS,42
4-WORD PHRASES,5
5-LETTER WORDS,21
50TH ANNIVERSARIES,4
6-LETTER WORDS,3
7 WONDERS,9
"A LA ""CART\""",4
A.K.A.,10
ABBREVIATIONS,5
ACADEMY AWARDS,5
ACRONYMS,5
ACTORS & ROLES,52
ADDRESSES,5
ADMIRALS,5
AFRICA,20
AGRICULTURE,5
AILMENTS,5
ALL NUMBERS,10
ALL THAT JAZZ,2
ALPHABET SOUP,15
AMERICAN ART,5
AMERICAN GOVERNMENT,2
AMERICAN HISTORY,18
AMERICAN INDIANS,29
AMERICAN LITERATURE,15
AMERICAN REVOLUTION,23
ANATOMY,43
ANCIENT GREECE,5
ANCIENT HISTORY,28
ANCIENT LEGENDS,5
ANCIENT WORLDS,15
ANIMALS,80
ARCHAEOLOGY,4
ARCHERY,4
ARCHITECTURE,9
ARMED FORCES,1
AROUND THE HOUSE,10
ART,52
ARTISTS,10
ASIA,9
ASSASSINS,5
ASTROLOGY,7
ASTRONOMY,35
ATHLETES,5
AUGUST,2
AUSSIE ENGLISH,7
AUSTRALIA,9
AUTHORS,18
AUTO REPAIR,5
AUTO SLOGANS,5
AUTOMOBILES,10
AVIATION,8
AWARDS,11
BABY CARE,5
BALLET,9
BARBARAS,3
BASEBALL,41
BASKETBALL,5
BEARS,3
BEES,4
"BEGINS WITH ""L\""",5
"BEGINS WITH ""Z\""",5
"BEGINS WITH AN ""X\""",5
BELGIUM,5
BELONGS TO,3
BEN FRANKLIN,4
BEST PICTURES,10
BEST SELLERS,21
BESTSELLERS,5
BIG BANDS,5
BIOLOGY,24
BIRDS,25
BLACK AMERICA,5
BLUE SONGS,5
BOATING,3
BOATS,3
BODIES BEAUTIFUL,5
BODIES OF WATER,23
BODY LANGUAGE,4
BOOKS & AUTHORS,15
BOSTON,4
BOTANICAL NAMES,2
BOTANY,20
BOXING,10
BREAKFAST,5
BRIDGES,3
BRITISH HISTORY,12
BRITISH ISLES,13
BRITISH MONARCHS,1
BRITISH ROYALTY,5
BROADWAY,15
BROADWAY MUSICALS,6
BROTHERS & SISTERS,4
BUSINESS,5
BUSINESS & INDUSTRY,62
BUTLERS,4
"BY THE ""WAY\""",4
BY THE NUMBERS,10
CABLE TV,5
CAMPING,5
CANADA,15
CAPTAINS,5
CARDS,9
CARDS & DICE,5
CARS,3
CARTOONISTS,5
CARTOONS,11
CATS,5
CATS & DOGS,2
CHEMISTRY,36
CHICAGO,4
CHILD STARS,8
CHILDREN'S CLASSICS,5
CHILDREN'S LITERATURE,11
CHINA,2
CHOCOLATE,4
CITIES,5
CITY QUOTES,5
CIVIL RIGHTS,5
CIVIL WAR,18
CIVIL WARS,8
CLASSIC CINEMA,18
CLASSICAL MUSIC,46
COLLECTIBLES,4
COLLEGE NICKNAMES,10
COLLEGES,21
COLONIAL AMERICA,10
COLORFUL GEOGRAPHY,5
COLORS,49
COMEDIANS,10
COMIC BOOK HEROES,5
COMIC CATS & DOGS,5
COMPOSERS,15
COMPUTERS,3
CONQUERORS,5
CONTESTS,1
COOKING,5
CORPORATE AMERICA,6
COUNTRY MUSIC,23
CRIME & PUNISHMENT,5
CUISINE,5
CURRENT EVENTS,5
"CZECH, PLEASE",5
DANCE,8
DANCE FEVER,5
DAYTIME TV,5
"DEAR ""JOHNS\""",5
DEAR JOHNS,5
DEMOCRATS,34
DESSERTS,9
DIAMONDS,5
DIFFERENT BRIDGES,3
DINING OUT,13
DISASTERS,5
DOCTORS,10
DOGS,16
DOUBLE M,5
DOUBLE MEANINGS,5
DOUBLE S,5
DOUBLE TALK,20
DRAMA,32
DRUGS,2
"EAR, NOSE & THROAT",5
EARLY MAN,5
EASY MATH,5
ECOLOGY,17
ECONOMICS,11
EDUCATION,6
EGGS,4
EGYPT,3
ELECTIONS,7
ELVIS,4
ENERGY,10
ENGLAND,5
ENGLISH EDIBLES,7
ENGLISH HISTORY,10
ENGLISH LITERATURE,15
EQUIVALENCIES,5
ETIQUETTE,13
EUROPE,35
EUROPEAN HISTORY,6
EXPLORERS,9
"FAIR ""SHAKES\""",4
FAIRIES,8
FAIRY TALES,9
FAMILIAR PHRASES,9
FAMOUS FAMILIES,7
FAMOUS FOLKS,5
FAMOUS NAMES,1
FAMOUS PAINTINGS,5
FAMOUS PAIRS,17
FAMOUS PIGS,5
FAMOUS QUOTES,49
FAMOUS TRIALS,5
FASHION,39
FAST FOOD,2
FICTION,19
FICTIONAL ANIMALS,5
FICTIONAL CHARACTERS,16
FICTIONAL DETECTIVES,4
FICTIONAL HEROINES,4
FIRST AID,10
FIRST FAMILIES,5
FIRST LADIES,18
FIRST LINES,20
FIRST NAME BASIS,5
"FIRST, MIDDLE & LAST",5
FIRSTS,5
FISH,4
FISHING,8
FLAGS,13
FLOWERS,10
FLOWERS & TREES,8
FOLK MUSIC,1
FOOD,48
FOOD FACTS,5
FOODS,11
FOOTBALL,31
FOR THE KIDS,15
FOREIGN CITIES,5
FOREIGN CUISINE,14
FOREIGN EXCHANGE,4
FOREIGN FILMS,3
FOREIGN PHRASES,47
FORMER CAPITALS,5
FORMER OCCUPATION,5
FOUR SEASONS,3
FRANCE,10
FRENCH FOOD,5
FRENCH LITERATURE,5
FRENCH REVOLUTION,5
FRUIT,5
FRUITS & VEGETABLES,3
GABLE,5
GAMBLING,5
GAME SHOWS,11
GAMES,19
GANGSTER MOVIES,5
GARDENS,3
GAY '90S,3
GAY BLADES,5
GEMS,5
GENERALS,12
GENETICS,5
GEOGRAPHIC PAIRS,5
GEOGRAPHY,67
GEOLOGY,20
GEOMETRY,5
GERMAN,5
GHOSTS,5
GIRLS IN SONG,5
GLASS,4
GOLDEN OLDIES,10
GOLF,9
GOOD AS GOLD,5
"GOT IT ""MADE\""",3
GOV'T & POLITICS,5
GOVERNMENT,26
GOVERNORS,4
GRAIN,5
GRAMMAR,19
GREAT LOVERS,4
GREAT ROMANCES,13
GREECE,3
GREEK MYTHOLOGY,10
GROUCHO,5
GUNS,5
GYMNASTICS,5
HAIR,5
HATS,7
"HAVE A ""HART\""",5
HEADLINES,5
HEMINGWAY,5
HERALDRY,2
HERBS & SPICES,12
HIGHER EDUCATION,6
HIGHWAYS & BYWAYS,5
HISTORIC SITES,5
HISTORICAL TRIVIA,3
HISTORY,47
HITCHCOCK,5
HOLD IT,5
HOLIDAYS,31
HOLLAND,5
HOLLYWOOD LEGENDS,5
HOMONYMS,10
HOMOPHONES,11
HORSES,12
HOSPITALS,2
HOT MOVIES,5
HOT SPOTS,5
HOTEL NAMES,5
HOW TO...,11
HOWDY DOODY,5
HUMAN VISION,5
HUNGARY,5
HYPHENATES,5
I LOVE LUCY,5
IN THE MIDDLE,5
IN THE OCEANS,4
INCREDIBLE EDIBLES,4
INDIA,2
INDIANS,5
INDONESIA,5
INITIALS,15
INSECTS,16
INSIGNIAS,5
INTERIOR DESIGN,3
INTERNAT'L SINGERS,3
INTERNATIONAL FOODS,5
INTERNATIONAL SINGERS,4
INVENTIONS,46
INVENTORS,10
IRELAND,5
ISLANDS,31
ISLANDS IN SONG,5
IT'S A CRIME,1
ITALY,9
JAPAN,4
JAZZ,2
JIMMY CAGNEY,5
JOHNSONS,5
JOURNALISM,11
JUST NAMES,5
KID STUFF,7
KIDDIE LIT,10
KIND OF A DRAG,4
KINGDOMS,1
KINGS & QUEENS,3
LABOR UNIONS,6
LADIES IN SONG,5
LAKES & RIVERS,27
LANDMARKS,26
LANGUAGE,6
LANGUAGES,25
LAST NAME BASIS,5
LAST WORDS,15
LAW,19
LAWS & PRINCIPLES,2
LEAPS & JUMPS,4
LEGENDS,15
LETTER PERFECT,15
LETTERS,5
LITERARY QUOTES,14
LITERATURE,74
LITTLE BIG MEN,5
LONDON,5
LOS ANGELES,5
MAGAZINES,5
MAGIC,9
MAMMALS,41
MARK TWAIN,4
MARTYRS,1
MATH PROBLEMS,4
MATHEMATICS,37
MEDICAL HISTORY,7
MEDICINE,60
MIDWEST CITIES,5
MIRACLES,5
MONARCHS,5
MONEY,13
MOUNTAINS,17
MOVIE COMPOSERS,9
MOVIE MOTTOS,5
MOVIE MUSICALS,5
MOVIE PAIRS,2
MOVIE TALK,5
MOVIE TRIVIA,58
MOVIES,57
MUSIC,53
MUSIC ON THE MAP,6
MUSIC TRIVIA,5
MUSICAL ASTRONOMY,5
MUSICAL INSTRUMENTS,10
MUSICAL NUMBERS,4
MUSICAL ZOO,4
MUSICIANS,5
MYSTERIES,5
MYTHOLOGY,35
MYTHS & LEGENDS,5
NAME YOUR POISON,5
NAMES,5
NAMES IN THE NEWS,1
NAMESAKES,5
NATIONAL LANDMARKS,5
NATIONAL PARKS,5
NATURAL DISASTERS,5
NATURE,18
NEW TESTAMENT,11
NEW YORK CITY,5
NEWSPAPERS,8
NICKNAMES,8
NOBEL PRIZE,9
NORTH AMERICA,5
NOSTALGIA,5
NOTORIOUS,38
NUCLEAR PHYSICS,9
NUMBER PLEASE,20
NUMBERS,24
NURSERY RHYMES,10
NUTRITION,1
NUTS,2
OCTOBER,4
ODD JOBS,22
OLD TESTAMENT,18
"ON THE ""OUTS\""",5
OPERA,27
OSCAR SONGS,9
OUTLAWS,10
P'S & Q'S,9
PALINDROMES,14
PARAPSYCHOLOGY,5
PARKS,1
PEOPLE,7
PETS,11
PHILOSOPHY,8
PHOTOGRAPHY,4
PHYSICAL SCIENCE,5
PHYSICS,10
PLANTS,3
PLASTICS,5
PLAYWRIGHTS,7
POE,6
POETRY,23
POLAND,3
POLITICAL QUOTES,28
POLITICAL SLOGANS,2
POLITICS,22
POP MUSIC,25
POP PSYCHOLOGY,4
POP QUIZ,4
POST-WAR WORLD,5
POT CLUCK,4
POT LUCK,4
POTENT POTABLES,63
POTPOURRI,13
